image_id,mean,std
I01_01_1.bmp,5.51429,0.13013
i01_01_2.bmp,5.56757,0.16008
i01_01_3.bmp,4.94444,0.15186
i01_01_4.bmp,4.37838,0.11045999999999999
i01_01_5.bmp,3.8648599999999997,0.10228999999999999
i01_02_1.bmp,6.028569999999999,0.16896
i01_02_2.bmp,6.10811,0.17001
i01_02_3.bmp,5.38889,0.16795
i01_02_4.bmp,4.71429,0.10357999999999999
i01_02_5.bmp,4.36111,0.13695
i01_03_1.bmp,4.7714300000000005,0.12832000000000002
i01_03_2.bmp,4.27027,0.13594
i01_03_3.bmp,3.7027,0.10719000000000001
i01_03_4.bmp,3.19444,0.09477000000000001
i01_03_5.bmp,2.71429,0.09537000000000001
i01_04_1.bmp,5.971430000000001,0.13694
i01_04_2.bmp,5.75676,0.15946
i01_04_3.bmp,5.27027,0.17368
i01_04_4.bmp,5.24324,0.16398
i01_04_5.bmp,4.71429,0.13138
i01_05_1.bmp,5.91892,0.15934
i01_05_2.bmp,5.7027,0.17035999999999998
i01_05_3.bmp,5.08333,0.13249
i01_05_4.bmp,4.13889,0.09744
i01_05_5.bmp,3.13889,0.09744
i01_06_1.bmp,4.0,0.11467000000000001
i01_06_2.bmp,3.89189,0.16566
i01_06_3.bmp,3.7297300000000004,0.10570999999999998
i01_06_4.bmp,3.4857099999999996,0.08448
i01_06_5.bmp,2.94444,0.11072
i01_07_1.bmp,5.08333,0.15404
i01_07_2.bmp,4.75,0.13249
i01_07_3.bmp,4.0,0.11110999999999999
i01_07_4.bmp,3.22222,0.11188
i01_07_5.bmp,2.19444,0.11665999999999999
i01_08_1.bmp,5.18919,0.13151
i01_08_2.bmp,4.47222,0.13314
i01_08_3.bmp,3.4864900000000003,0.11855999999999998
i01_08_4.bmp,3.0,0.09035
i01_08_5.bmp,2.11111,0.10955999999999999
i01_09_1.bmp,6.08333,0.18162
i01_09_2.bmp,5.16667,0.15466
i01_09_3.bmp,4.42857,0.12312999999999999
i01_09_4.bmp,2.81081,0.10701
i01_09_5.bmp,1.54054,0.11205
i01_10_1.bmp,5.97297,0.15519000000000002
i01_10_2.bmp,5.94595,0.16192
i01_10_3.bmp,4.91667,0.15404
i01_10_4.bmp,3.21622,0.10902
i01_10_5.bmp,2.08108,0.15934
I01_11_1.BMP,5.91429,0.16349
i01_11_2.bmp,5.675680000000001,0.14329
i01_11_3.bmp,4.69444,0.12922
i01_11_4.bmp,3.6756800000000003,0.10847000000000001
i01_11_5.bmp,1.45946,0.11839000000000001
i01_12_1.bmp,5.94595,0.15734
i01_12_2.bmp,5.86486,0.16732
i01_12_3.bmp,4.21622,0.13315
i01_12_4.bmp,3.83333,0.13889
i01_12_5.bmp,3.43243,0.11805999999999998
I01_13_1.BMP,5.45946,0.13565
i01_13_2.bmp,3.9142900000000003,0.09365
i01_13_3.bmp,3.2777800000000004,0.09305
i01_13_4.bmp,3.16667,0.11452999999999999
i01_13_5.bmp,3.10811,0.09955
i01_14_1.bmp,5.69444,0.12922
i01_14_2.bmp,6.05405,0.14777
i01_14_3.bmp,5.75676,0.12908
i01_14_4.bmp,5.55556,0.1329
i01_14_5.bmp,4.4705900000000005,0.1264
i01_15_1.bmp,2.83333,0.12729000000000001
i01_15_2.bmp,2.82857,0.12445
i01_15_3.bmp,3.10811,0.15659
i01_15_4.bmp,3.58333,0.13249
i01_15_5.bmp,3.89189,0.15185
i01_16_1.bmp,5.80556,0.14604
i01_16_2.bmp,6.05405,0.21263
i01_16_3.bmp,4.88889,0.12897
i01_16_4.bmp,5.02778,0.14952000000000001
i01_16_5.bmp,4.19444,0.11665999999999999
i01_17_1.bmp,5.35135,0.16755
i01_17_2.bmp,6.62162,0.22401999999999997
i01_17_3.bmp,4.08108,0.11705
i01_17_4.bmp,6.24324,0.25182
i01_17_5.bmp,2.97143,0.11055
i01_18_1.bmp,4.62162,0.14976
i01_18_2.bmp,4.22222,0.15270999999999998
i01_18_3.bmp,3.7714300000000005,0.12832000000000002
i01_18_4.bmp,3.4722199999999996,0.13881
i01_18_5.bmp,3.41667,0.14367
i01_19_1.bmp,5.94444,0.17098
i01_19_2.bmp,5.47222,0.10747999999999999
i01_19_3.bmp,5.08108,0.14493
i01_19_4.bmp,4.52778,0.12721
i01_19_5.bmp,3.94444,0.11072
i01_20_1.bmp,5.85714,0.14648
i01_20_2.bmp,5.83333,0.13889
i01_20_3.bmp,6.02778,0.12099000000000001
i01_20_4.bmp,5.08333,0.09919
i01_20_5.bmp,4.33333,0.12423
i01_21_1.bmp,5.7027,0.16601
i01_21_2.bmp,5.27778,0.10101
i01_21_3.bmp,4.675680000000001,0.12119
i01_21_4.bmp,4.05714,0.13964000000000001
i01_21_5.bmp,3.05405,0.11432
i01_22_1.bmp,5.55556,0.1329
i01_22_2.bmp,5.18919,0.14218
i01_22_3.bmp,4.30556,0.10985
i01_22_4.bmp,3.1621599999999996,0.10477
i01_22_5.bmp,2.19444,0.10259000000000001
i01_23_1.bmp,6.28571,0.13138
i01_23_2.bmp,5.61111,0.14314000000000002
i01_23_3.bmp,5.77778,0.13095
i01_23_4.bmp,4.80556,0.1231
i01_23_5.bmp,2.40541,0.12361
i01_24_1.bmp,5.7027,0.16601
i01_24_2.bmp,5.58333,0.15404
i01_24_3.bmp,5.10811,0.14695999999999998
i01_24_4.bmp,3.08108,0.10382000000000001
i01_24_5.bmp,0.45946000000000004,0.11839000000000001
I02_01_1.bmp,5.74286,0.12995
i02_01_2.bmp,5.34286,0.13366
i02_01_3.bmp,5.22222,0.11857999999999999
i02_01_4.bmp,4.19444,0.09477000000000001
i02_01_5.bmp,3.9729699999999997,0.11135
i02_02_1.bmp,6.05556,0.16641
i02_02_2.bmp,6.05405,0.15263
i02_02_3.bmp,5.88889,0.12897
i02_02_4.bmp,5.2973,0.10719000000000001
i02_02_5.bmp,4.38889,0.11965999999999999
i02_03_1.bmp,4.8,0.11285
i02_03_2.bmp,4.43243,0.13535
i02_03_3.bmp,3.8378400000000004,0.09755
i02_03_4.bmp,3.5277800000000004,0.0832
i02_03_5.bmp,2.91892,0.09652999999999999
i02_04_1.bmp,6.28571,0.15424000000000002
i02_04_2.bmp,6.16216,0.13521
i02_04_3.bmp,5.19444,0.14065
i02_04_4.bmp,4.74286,0.11671
i02_04_5.bmp,4.28571,0.12500999999999998
i02_05_1.bmp,6.11765,0.14861
i02_05_2.bmp,6.11111,0.12284
i02_05_3.bmp,5.43243,0.11805999999999998
i02_05_4.bmp,4.37838,0.12297000000000001
i02_05_5.bmp,3.41667,0.08217
i02_06_1.bmp,4.55556,0.12696
i02_06_2.bmp,4.27778,0.10837999999999999
i02_06_3.bmp,3.7297300000000004,0.11241
i02_06_4.bmp,3.4857099999999996,0.08448
i02_06_5.bmp,3.10811,0.0836
i02_07_1.bmp,5.91429,0.11690999999999999
i02_07_2.bmp,5.58333,0.13249
i02_07_3.bmp,3.76471,0.10238
i02_07_4.bmp,3.75676,0.10400999999999999
i02_07_5.bmp,2.8571400000000002,0.10799
i02_08_1.bmp,6.10811,0.1419
i02_08_2.bmp,5.16667,0.11452999999999999
i02_08_3.bmp,4.54286,0.0842
i02_08_4.bmp,3.8378400000000004,0.10477
i02_08_5.bmp,3.02703,0.09735
i02_09_1.bmp,6.0,0.15649000000000002
i02_09_2.bmp,5.51429,0.14212
i02_09_3.bmp,4.52778,0.12721
i02_09_4.bmp,3.64865,0.10955999999999999
i02_09_5.bmp,2.41667,0.08217
i02_10_1.bmp,6.0,0.18331
i02_10_2.bmp,5.97222,0.13314
i02_10_3.bmp,5.43243,0.14065
i02_10_4.bmp,3.5,0.11452999999999999
i02_10_5.bmp,2.71429,0.08639
I02_11_1.BMP,5.91667,0.16375
i02_11_2.bmp,4.80556,0.10259000000000001
i02_11_3.bmp,2.97297,0.09735
i02_11_4.bmp,1.9189200000000002,0.08864
i02_11_5.bmp,1.27778,0.10837999999999999
i02_12_1.bmp,5.30556,0.13505999999999999
i02_12_2.bmp,4.43243,0.12985
i02_12_3.bmp,3.08108,0.09652999999999999
i02_12_4.bmp,2.67568,0.11500999999999999
i02_12_5.bmp,2.37143,0.09112
I02_13_1.BMP,4.47222,0.0832
i02_13_2.bmp,4.0,0.10393
i02_13_3.bmp,3.38889,0.09842999999999999
i02_13_4.bmp,2.89189,0.09192
i02_13_5.bmp,3.61111,0.08125
i02_14_1.bmp,5.75,0.15897
i02_14_2.bmp,6.08108,0.14989
i02_14_3.bmp,5.1142900000000004,0.13863
i02_14_4.bmp,5.31429,0.12630999999999998
i02_14_5.bmp,4.21622,0.15822
i02_15_1.bmp,3.4,0.09214
i02_15_2.bmp,3.6216199999999996,0.11688
i02_15_3.bmp,3.83333,0.10758
i02_15_4.bmp,3.8378400000000004,0.10477
i02_15_5.bmp,4.2,0.10537
i02_16_1.bmp,5.94595,0.16637000000000002
i02_16_2.bmp,6.08333,0.14367
i02_16_3.bmp,5.324319999999999,0.20601999999999998
i02_16_4.bmp,5.13889,0.1627
i02_16_5.bmp,4.56757,0.14065
i02_17_1.bmp,5.91667,0.12028
i02_17_2.bmp,5.68571,0.17506
i02_17_3.bmp,4.83784,0.12969
i02_17_4.bmp,4.7714300000000005,0.16205999999999998
i02_17_5.bmp,3.91667,0.10668
i02_18_1.bmp,5.97222,0.14426
i02_18_2.bmp,5.59459,0.18114
i02_18_3.bmp,4.82857,0.15900999999999998
i02_18_4.bmp,4.91892,0.14989
i02_18_5.bmp,4.54286,0.11671
i02_19_1.bmp,5.77778,0.13095
i02_19_2.bmp,5.43243,0.1117
i02_19_3.bmp,4.83333,0.15466
i02_19_4.bmp,4.22222,0.09711
i02_19_5.bmp,3.75676,0.08886000000000001
i02_20_1.bmp,6.05405,0.15734
i02_20_2.bmp,6.17143,0.16405999999999998
i02_20_3.bmp,5.30556,0.13505999999999999
i02_20_4.bmp,4.0,0.09035
